gene;transcript;experRep1;experRep2;experRep3;controlRep1;controlRep2;controlRep3
AK212155;uc029wnt.1;0.00;0.00;0.00;0.00;0.00;0.00
Sp2;uc007ldf.1,uc007ldg.1;52.00;47.00;36.00;99.00;53.00;66.00
AK051368;uc009coj.1;Apr.39;1.Nov;0.00;1.Oct;0.00;0.00
Ubiad1;uc008vup.1;121.00;125.00;65.00;134.00;95.00;111.00
Src;uc008npa.1,uc008npb.1,uc012cia.1;21.00;35.00;20.00;43.00;22.00;32.00
Racgap1;uc007xpx.2,uc007xpy.2,uc007xpz.2;9.00;20.00;11.00;14.00;10.00;7.00
DQ696825;uc009eaq.1;0.00;0.00;0.00;0.00;0.00;0.00
9530026P05Rik;uc009czg.2,uc009czh.2,uc012epf.1,uc012epg.1,uc012eph.1;3.00;5.00;5.00;Jul.97;4.00;1.Sep
Elf1;uc007utb.1,uc007utc.1,uc007utd.1;152.00;145.00;83.00;544.35;316.00;296.00
